"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1794","Deve mostrar Erro no campo Nome","","2026-02-21","passed","2026-02-21","","Funcionalidade: Cadastro","",""
"","662","Deve abrir pagina de detalhes do ultimo livro","","2026-02-21","passed","2026-02-21","","Funcionalidade: Busca de Livros","",""
"","3461","Deve realizar login com sucesso usando fixture","","2026-02-21","passed","2026-02-21","","Funcionalidade: Login","",""
"","685","Deve clicar no botão Adicionar à Cesta","","2026-02-21","passed","2026-02-21","","Funcionalidade: Busca de Livros","",""
"","","Oops...we found an error preparing this test file: busca-livros.spec.cy.js","","","broken","","","busca-livros.spec.cy.js","",""
"","1059","Deve adicionar 3 livros na cesta de forma automatizada","","2026-02-21","passed","2026-02-21","","Funcionalidade: Busca de Livros","",""
"","1009","Deve abrir pagina de detalhes e adicionar à Cesta","","2026-02-21","passed","2026-02-21","","Funcionalidade: Busca de Livros","",""
"","","Oops...we found an error preparing this test file: fluxo-emprestimo-rapido.cy.js","","","broken","","","fluxo-emprestimo-rapido.cy.js","",""
"","","Oops...we found an error preparing this test file: fluxo-emprestimo.cy.js","","","broken","","","fluxo-emprestimo.cy.js","",""
"","2664","Deve encontrar livro pela barra de pesquisa","","2026-02-21","passed","2026-02-21","","Funcionalidade: Busca de Livros","",""
"","","Oops...we found an error preparing this test file: login.spec.cy.js","","","broken","","","login.spec.cy.js","",""
"","704","Deve abrir pagina de detalhes do quinto livro","","2026-02-21","passed","2026-02-21","","Funcionalidade: Busca de Livros","",""
"","5778","Deve criar cadastro com sucesso","","2026-02-21","passed","2026-02-21","","Funcionalidade: Cadastro","",""
"","2090","Deve mostrar Erro no campo Confirmar Senha","","2026-02-21","passed","2026-02-21","","Funcionalidade: Cadastro","",""
"","","Oops...we found an error preparing this test file: cadastro.spec.cy.js","","","broken","","","cadastro.spec.cy.js","",""
"","1160","Deve mostrar Erro no campo Senha","","2026-02-21","passed","2026-02-21","","Funcionalidade: Cadastro","",""
"","668","Deve abrir pagina de detalhes do primeiro livro","","2026-02-21","passed","2026-02-21","","Funcionalidade: Busca de Livros","",""
"","1284","Deve Adicionar 2 livros na cesta","","2026-02-21","passed","2026-02-21","","Funcionalidade: Busca de Livros","",""
"","2189","Deve mostrar Erro de Usuario já Cadastrado","","2026-02-21","passed","2026-02-21","","Funcionalidade: Cadastro","",""
"","1882","Deve mostrar Erro no campo Email","","2026-02-21","passed","2026-02-21","","Funcionalidade: Cadastro","",""
"","34312","Deve fazer todo um fluxo de emprestimo de apenas um livro","","2026-02-21","passed","2026-02-21","","End-to-end - Usando JS","",""
"","9084","Deve escolher e selecionar livros para Emprestimos","","2026-02-21","failed","2026-02-21","","End-to-end - Fluxo Rapido","",""
